male,year,studylike,Grade,univ,dream,club,studytime,sleep,free,Cram,sptime
1,3,4,5,1,2,0,60,291,189,0,77
0,2,2,4,1,2,1,111,429,309,0,274
1,2,3,2,1,1,6,0,403,291,0,214
0,3,4,3,0,2,0,17,420,600,0,360
1,3,2,3,1,2,0,129,330,386,0,240
1,2,5,4,1,1,6,81,399,300,2,274
0,3,4,5,0,0,0,0,394,171,0,326
0,3,3,5,0,1,0,31,317,1440,0,351
0,2,3,2,1,2,2,107,427,334,0,176
0,2,1,1,0,2,5,99,450,90,3,120
0,3,5,5,0,1,0,0,274,840,0,579
0,2,4,3,1,1,5,77,416,244,0,214
0,2,4,2,0,2,0,77,394,386,0,231
0,2,5,3,1,2,7,0,394,266,0,146
0,3,5,5,0,1,0,120,394,420,0,523
1,2,3,5,1,1,6,26,399,154,0,240
1,3,2,1,1,2,0,167,437,154,0,214
1,3,2,3,1,1,0,116,364,501,0,39
0,2,3,2,1,1,1,9,360,471,0,291
0,3,3,3,1,0,0,351,420,549,0,94
1,2,2,3,1,1,6,60,420,60,0,60
0,2,3,3,0,1,0,0,459,137,0,137
0,3,1,3,1,1,0,176,471,326,1,77
1,3,3,4,1,1,0,437,420,77,3,63
0,2,2,3,1,1,7,197,317,334,4,127
1,3,2,1,0,0,6,154,351,1440,0,171
0,2,1,5,1,1,5,94,480,80,0,60
1,3,3,2,1,2,0,514,960,274,0,120
0,2,3,3,1,2,1,69,437,214,0,137
1,3,2,1,1,2,0,231,274,154,0,137
0,2,3,3,0,2,5,69,429,154,0,77
1,2,4,3,1,2,3,9,394,669,0,180
1,2,3,3,1,1,6,60,360,171,1,291
0,3,4,4,0,1,0,0,394,754,0,926
1,2,5,5,1,0,0,0,514,471,0,386
0,3,4,5,0,2,0,0,360,446,0,386
0,2,3,3,1,1,1,77,450,249,0,171
1,3,3,3,1,1,0,506,429,506,0,77
1,3,3,3,0,0,0,0,429,1440,0,206
1,2,3,2,1,2,6,231,429,105,0,137
0,2,5,3,1,1,2,30,411,540,1,471
0,2,4,4,1,2,5,154,253,137,0,214
1,3,3,3,0,1,0,0,360,523,0,986
